Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@shadowmcclone,2:34 AM - 27 May 2010,#FERALC @if NAW BUT HOW RAD IS IT., ,https://twitter.com/shadowmcclone/status/14817720915
@gossama,2:33 AM - 27 May 2010,just checked that link @Miss_Stressa looks normal 2 me babe?! #feralC, ,https://twitter.com/gossama/status/14817676297
@shadowmcclone,2:31 AM - 27 May 2010,#FERALC CONFIRMED @pupa_mistress, ,https://twitter.com/shadowmcclone/status/14817635922
@shadowmcclone,2:28 AM - 27 May 2010,#FERALC HEY @if CHECK THIS SH_T OUT http://bit.ly/ddN6v6, ,https://twitter.com/shadowmcclone/status/14817521706
@Miss_Stressa,2:27 AM - 27 May 2010,"Well @gossama i have uplaoded the photos, but that's where it gets - troublesome. http://twitpic.com/1r8bss #feralC", ,https://twitter.com/Miss_Stressa/status/14817488176
@shadowmcclone,2:25 AM - 27 May 2010,#FERALC WHATUP @if I'M HERE BUD, ,https://twitter.com/shadowmcclone/status/14817400768
@gossama,2:24 AM - 27 May 2010,o i c @Miss_Stressa ..sounds freaky. u uploaded the snaps yah? #feralC, ,https://twitter.com/gossama/status/14817357195
@Miss_Stressa,2:20 AM - 27 May 2010,"And by ""well"" I mean no blackouts. #feralC", ,https://twitter.com/Miss_Stressa/status/14817235240
@Miss_Stressa,2:19 AM - 27 May 2010,Well @gossama I did as @if suggested and took more photos of that house http://twitpic.com/1mne6c - it started out well enough... #feralC, ,https://twitter.com/Miss_Stressa/status/14817186081
@gossama,2:15 AM - 27 May 2010,fark @Miss_Stressa thoguht we'd lost ya..where u been? wots the dealio? #feralC, ,https://twitter.com/gossama/status/14817029552
@HUD_B,2:12 AM - 27 May 2010,ooo hi @if *puuRRRRrrrrr*!!!!!!!!!! and @Miss_Stressa!!!! where's @QReada ????!!! have 2 tell him about tuffs :(#feralC, ,https://twitter.com/HUD_B/status/14816944920
@Miss_Stressa,2:10 AM - 27 May 2010,Hi @gossama. Yes I'm ok now thanks. Been a strange few weeks though. How are you? And everyone? #feralC, ,https://twitter.com/Miss_Stressa/status/14816865785
@gossama,2:06 AM - 27 May 2010,WOOT allo @Miss_Stressa! where u been babe?! u ok? been worried bout cha! #feralC, ,https://twitter.com/gossama/status/14816722487
@Miss_Stressa,2:05 AM - 27 May 2010,Hello? Is this getting through? #feralC, ,https://twitter.com/Miss_Stressa/status/14816674888
@HUD_B,2:03 AM - 27 May 2010,just watched this @gossama!!!!!!! poor pooch!!?!! http://bit.ly/9qGHnQ  all i want 2 do is hug him & tha hero guy!!!!! #feralC, ,https://twitter.com/HUD_B/status/14816608924
@gossama,2:00 AM - 27 May 2010,phew back now. wot's cranking peeps? #feralC, ,https://twitter.com/gossama/status/14816497404
@gossama,1:49 AM - 27 May 2010,ahoya @there MISS! pupa_mistress  SIR! *lulz*. typing o which @Miss_Stressa back with us 2day eh? #feralC, ,https://twitter.com/gossama/status/14816070289
@HUD_B,1:45 AM - 27 May 2010,ooooohhH ok @gossama :///////// #feralC, ,https://twitter.com/HUD_B/status/14815921838
@gossama,1:44 AM - 27 May 2010,heh @HUD_B  only getting some epic sheete blinged up #feralC, ,https://twitter.com/gossama/status/14815874137
@HUD_B,1:43 AM - 27 May 2010,!!????LOLOL!!!!!!!!! does that mean ur getting some bling @gossama ???????? i LUV bling :)))))))))))) <33333 #feralC, ,https://twitter.com/HUD_B/status/14815826734
@gossama,1:41 AM - 27 May 2010,heh @HUD_B its a jewelcrafter in WoW...freakin rarer than dodo's teeth;)  #feralC, ,https://twitter.com/gossama/status/14815734132
@HUD_B,1:39 AM - 27 May 2010,oh wats a JCer @gossama? #feralC, ,https://twitter.com/HUD_B/status/14815678220
@HUD_B,1:38 AM - 27 May 2010,ooooO hiya @gossama !!!!!!!!!!!!!!! both early 4 session 5! YAY!!!!<3 #feralC, ,https://twitter.com/HUD_B/status/14815644421
@gossama,1:32 AM - 27 May 2010,yeh yeh @pupa_mistress  i'm g2g.  just finishing LF a JCer. f'king impossible 2 find 1. #feralC, ,https://twitter.com/gossama/status/14815367308
@gossama,4:37 PM - 26 May 2010,[Gossama] Earned the achievement {Got My Mind on My Money] http://bit.ly/cYGwVp #feralC, ,https://twitter.com/gossama/status/14786846058
@gossama,4:34 PM - 26 May 2010,[Gossama] Has now completed [Deathbringer kills (Icecrown 10 player)] 6 times. #feralC, ,https://twitter.com/gossama/status/14786722774
@gossama,4:33 PM - 26 May 2010,[Gossama] Has now completed [Gunship Battle victories (Icecrown 10 player)] 6 times. #feralC, ,https://twitter.com/gossama/status/14786699748
@gossama,4:33 PM - 26 May 2010,[Gossama] Has now completed [Lady Deathwhisper kills (Icecrown 10 player)] 6 times. #feralC, ,https://twitter.com/gossama/status/14786670513
@gossama,4:32 PM - 26 May 2010,[Gossama] Has now completed [Lord Marrowgar kills (Icecrown 10 player)] 11 times. #feralC, ,https://twitter.com/gossama/status/14786632440
@gossama,5:51 AM - 25 May 2010,[Gossama] Has now completed [Sjonnir the Ironshaper kills (Heroic Halls of Stone)] 23 times. #feralC, ,https://twitter.com/gossama/status/14682960384
@gossama,11:05 PM - 24 May 2010,*wink* @HUD_B  #feralC, ,https://twitter.com/gossama/status/14666758614
@HUD_B,11:04 PM - 24 May 2010,LOLOLOL!!!!!!!!!!!!! @gossama  it soooOOOoooooo does lolol!!! u called me babe !!!!!!!!!! *blush purrRRRrrr* #feralC, ,https://twitter.com/HUD_B/status/14666702573
@gossama,10:56 PM - 24 May 2010,heh @HUD_B that mechodawg looks like the monsta from Aliens with a handle glued 2 its head;) #feralC, ,https://twitter.com/gossama/status/14666291132
